lg	inLg	name
en	sjo	Xibe
en	snd	Sindhi
en	qve	Quechua
en	ssp	Spanish Sign Language
en	khk	Khalkha Mongolian
khk	khk	монгол хэл
kmr	kmr	Kurmancî
en	szl	Silesian
pl	szl	śląski
ca	szl	silesià
de	szl	Schlesisch
es	szl	silesiano
eu	szl	silesiera
fr	szl	silésien
nb	szl	schlesisk
nn	szl	schlesisk
oc	szl	silesian
ro	szl	sileziană
sv	szl	schlesiska
szl	af	afrikaans
szl	an	aragōńskŏ
szl	ar	arabskŏ
szl	as	asamskŏ
szl	ast	asturyjskŏ
szl	av	awarskŏ
szl	az	azerskŏ
szl	ba	baszkirskŏ
szl	be	biołoruskŏ
szl	bg	bułgarskŏ
szl	bi	bislamskŏ
szl	bn	byngalskŏ
szl	br	bretōńskŏ
szl	bs	bośniackŏ
szl	bua	buriackŏ
szl	ca	katalōńskŏ
szl	ceb	cebuano
szl	ckb	kurdyjskŏ sorani
szl	co	korsykańsko
szl	crh	krymskŏ tatarskŏ
szl	cs	czeskŏ
szl	csb	kaszubskŏ
szl	cu	staro-cerkewno-słowiańskŏ
szl	cv	czuwaskŏ
szl	cy	walijskŏ
szl	da	duńskŏ
szl	de	niymieckŏ
szl	dsb	dolnoserbskŏ
szl	el	greckŏ
szl	en	angelskŏ
szl	eo	esperanto
szl	es	hiszpańskŏ
szl	et	estōńskŏ
szl	eu	baskijskŏ
szl	fa	perskŏ
szl	fi	fińskŏ
szl	fo	farerskŏ
szl	fr	francuskŏ
szl	fy	fryzyjskŏ zachodniŏ
szl	ga	irlandzkŏ
szl	gd	szkockŏ gaelickŏ
szl	gl	galisyjskŏ
szl	gn	guaraní
szl	gv	manx
szl	he	hebrajskŏ
szl	hi	hindi
szl	hr	chorwackŏ
szl	hsb	gōrnoserbskŏ
szl	ht	haitańskŏ
szl	hu	wyngerskŏ
szl	hy	armyńskŏ
szl	ia	interlingua
szl	id	indōnezyjskŏ
szl	is	islandzkŏ
szl	it	italiańskŏ
szl	kaa	karakalpak
szl	kk	kazaskŏ
szl	ko	koreańskŏ
szl	ku	kurdyjskŏ
szl	kum	kumickŏ
szl	kv	kōmi
szl	ky	kirgiskŏ
szl	la	łacina
szl	lb	luksymburskŏ
szl	lg	luganda
szl	lo	laotańskŏ
szl	lt	litewskŏ
szl	lv	łotewskŏ
szl	mfe	maurytyjskŏ
szl	mk	macedōńskŏ
szl	ml	malajalam
szl	mr	marathi
szl	ms	malajskŏ
szl	mt	maltańskŏ
szl	myv	erzja
szl	nb	norweskŏ bokmål
