lg	inLg	name
szl	se	sami pōłnocnŏ
szl	sh	serbochorwackŏ
szl	si	syngaleskŏ
szl	sk	słowackŏ
szl	sl	słowyńskŏ
szl	sma	sami połedniowŏ
szl	smj	sami lule
szl	sq	albańskŏ
szl	sr	serbskŏ
szl	sv	szwedzkŏ
szl	sw	suahili
szl	szl	ślōnskŏ
szl	ta	tamilskŏ
szl	te	telugu
szl	tet	tetum
szl	tg	tadżyckŏ
szl	th	tajlandzkŏ
szl	tk	turkmyńskŏ
szl	tl	tagalog
szl	tr	tureckŏ
szl	tt	tatarskŏ
szl	tyv	tuwińskŏ
szl	udm	udmurckŏ
szl	uk	ukrajińskŏ
szl	ur	urdu
szl	uz	uzbeckŏ
szl	vi	wietnamskŏ
szl	xh	xosa
szl	zh	chińskŏ
szl	zu	zulu
tki	tki	توركمانجه
vro	vro	võro
wad	wad	Wamesa
wal	wal	Wolaytta
yaq	yaq	Yoem Noki
